CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,17,10,55,114,0.8461538461538461,0.8702290076335878,0.8622448979591837
1,14,21,44,117,0.676923076923077,0.8931297709923665,0.8214285714285714
2,8,8,58,122,0.8787878787878788,0.9384615384615385,0.9183673469387755
