,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_isomap__n_components,param_isomap__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4107903639475505,0.06196214570256866,0.0756540298461914,0.0071378149477510505,10,3,"{'isomap__n_components': 10, 'isomap__n_neighbors': 3}",0.7770114942528735,0.7770114942528735,0.7425287356321839,0.7655172413793103,0.016255328303139003,15
1,0.41498462359110516,0.04045879825487868,0.08730300267537434,0.021181212807348866,10,7,"{'isomap__n_components': 10, 'isomap__n_neighbors': 7}",0.7885057471264367,0.7977011494252874,0.728735632183908,0.7716475095785441,0.030574616618022996,7
2,0.4151584307352702,0.007067749025563218,0.07928832372029622,0.0008596439088001905,10,11,"{'isomap__n_components': 10, 'isomap__n_neighbors': 11}",0.7885057471264367,0.7770114942528735,0.7241379310344828,0.7632183908045976,0.028029641621719333,18
3,0.50282088915507,0.057002958544345596,0.09056687355041504,0.009295929698150338,10,15,"{'isomap__n_components': 10, 'isomap__n_neighbors': 15}",0.7586206896551724,0.767816091954023,0.728735632183908,0.7517241379310345,0.016683173223813987,24
4,0.5025238196055094,0.005239732239804717,0.09027926127115886,0.0025932579942867396,10,20,"{'isomap__n_components': 10, 'isomap__n_neighbors': 20}",0.7816091954022989,0.7701149425287356,0.7540229885057471,0.7685823754789273,0.011314040659182702,9
5,0.6245964368184408,0.02695049761439845,0.106444517771403,0.008268063506706919,10,30,"{'isomap__n_components': 10, 'isomap__n_neighbors': 30}",0.7816091954022989,0.7632183908045977,0.7126436781609196,0.7524904214559388,0.029159076766958555,23
6,0.7007644176483154,0.03508655062623814,0.11282761891682942,0.0011587946202867765,10,40,"{'isomap__n_components': 10, 'isomap__n_neighbors': 40}",0.7793103448275862,0.7563218390804598,0.7149425287356321,0.750191570881226,0.026633175780816528,25
7,0.7565675576527914,0.010179694494219689,0.12295166651407878,0.0014778625505392118,10,50,"{'isomap__n_components': 10, 'isomap__n_neighbors': 50}",0.8022988505747126,0.767816091954023,0.7241379310344828,0.7647509578544062,0.03198258506468843,17
8,0.9655649662017822,0.01469707753562198,0.1418914000193278,0.0007900632535882069,10,75,"{'isomap__n_components': 10, 'isomap__n_neighbors': 75}",0.7931034482758621,0.7517241379310344,0.6988505747126437,0.7478927203065133,0.038573832792806816,30
9,1.1498819986979167,0.011605703049342145,0.15586201349894205,0.0025008796159036507,10,100,"{'isomap__n_components': 10, 'isomap__n_neighbors': 100}",0.8,0.7494252873563219,0.735632183908046,0.7616858237547893,0.027671218521483222,19
10,0.3340919017791748,0.0116335954969073,0.06651171048482259,0.001941658486396279,30,3,"{'isomap__n_components': 30, 'isomap__n_neighbors': 3}",0.7931034482758621,0.7839080459770115,0.7793103448275862,0.7854406130268199,0.00573434082264207,3
11,0.4033659299214681,0.004752713184803631,0.07574097315470378,0.0020826529484497145,30,7,"{'isomap__n_components': 30, 'isomap__n_neighbors': 7}",0.7816091954022989,0.7885057471264367,0.7264367816091954,0.7655172413793103,0.02777711718067715,15
12,0.45392195383707684,0.005278794818588574,0.08118661244710286,0.0015744240206062674,30,11,"{'isomap__n_components': 30, 'isomap__n_neighbors': 11}",0.7862068965517242,0.7931034482758621,0.7195402298850575,0.7662835249042145,0.03317220049335381,13
13,0.493022362391154,0.005071709374842225,0.08937660853068034,0.0019367508483197342,30,15,"{'isomap__n_components': 30, 'isomap__n_neighbors': 15}",0.7402298850574712,0.7862068965517242,0.7218390804597701,0.7494252873563219,0.02707053139104323,27
14,0.5382037957509359,0.0023078606009448214,0.09259621302286784,0.0005210534393545823,30,20,"{'isomap__n_components': 30, 'isomap__n_neighbors': 20}",0.7977011494252874,0.7862068965517242,0.7586206896551724,0.7808429118773947,0.01639918357014002,4
15,0.6394293308258057,0.006941759524008608,0.10268592834472656,0.007785103737697354,30,30,"{'isomap__n_components': 30, 'isomap__n_neighbors': 30}",0.7770114942528735,0.8,0.7218390804597701,0.7662835249042145,0.032798367140280026,13
16,0.7171909809112549,0.010533684722780875,0.11138272285461426,0.000671834309936145,30,40,"{'isomap__n_components': 30, 'isomap__n_neighbors': 40}",0.7563218390804598,0.7724137931034483,0.7310344827586207,0.753256704980843,0.017031502506431307,22
17,0.7910429636637369,0.0059554392749756905,0.12274591128031413,0.0030189430854462196,30,50,"{'isomap__n_components': 30, 'isomap__n_neighbors': 50}",0.7540229885057471,0.7701149425287356,0.7264367816091954,0.750191570881226,0.018036172101057155,25
18,1.0187217394510906,0.03803400663884042,0.14922372500101724,0.00228649446387828,30,75,"{'isomap__n_components': 30, 'isomap__n_neighbors': 75}",0.7816091954022989,0.7724137931034483,0.6942528735632184,0.7494252873563219,0.03919298652120896,27
19,1.1959035396575928,0.011812658607544862,0.16779541969299316,0.0050737282392400475,30,100,"{'isomap__n_components': 30, 'isomap__n_neighbors': 100}",0.7632183908045977,0.7609195402298851,0.7103448275862069,0.7448275862068966,0.024401047246115973,32
20,0.37097636858622235,0.02693726016623401,0.07059097290039062,0.004007590659319017,50,3,"{'isomap__n_components': 50, 'isomap__n_neighbors': 3}",0.7977011494252874,0.7954022988505747,0.7701149425287356,0.7877394636015325,0.012497706076858324,2
21,0.43000173568725586,0.016722242342209252,0.07734433809916179,0.0046591300658126045,50,7,"{'isomap__n_components': 50, 'isomap__n_neighbors': 7}",0.7793103448275862,0.7862068965517242,0.7379310344827587,0.767816091954023,0.021318663208036093,11
