CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,10,3,62,121,0.9538461538461539,0.9236641221374046,0.9336734693877551
1,3,16,49,128,0.7538461538461538,0.9770992366412213,0.9030612244897959
2,7,1,65,123,0.9848484848484849,0.9461538461538461,0.9591836734693877
