,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kpca__alpha,param_kpca__gamma,param_kpca__kernel,param_kpca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
36,0.12473193804423015,0.007701517861212915,0.06489109992980957,0.013013107917155053,0.5,0.01188888888888889,rbf,70,"{'kpca__alpha': 0.5, 'kpca__gamma': 0.01188888888888889, 'kpca__kernel': 'rbf', 'kpca__n_components': 70}",0.8689655172413793,0.8873563218390804,0.8459770114942529,0.8674329501915707,0.0169277563481797,1
336,0.15389227867126465,0.022122872304428165,0.057492733001708984,0.0014793065082610852,0.05,0.01188888888888889,rbf,70,"{'kpca__alpha': 0.05, 'kpca__gamma': 0.01188888888888889, 'kpca__kernel': 'rbf', 'kpca__n_components': 70}",0.8689655172413793,0.8873563218390804,0.8459770114942529,0.8674329501915707,0.0169277563481797,1
186,0.18204363187154135,0.046818924723411995,0.06754676500956218,0.010176755850910667,0.275,0.01188888888888889,rbf,70,"{'kpca__alpha': 0.275, 'kpca__gamma': 0.01188888888888889, 'kpca__kernel': 'rbf', 'kpca__n_components': 70}",0.8689655172413793,0.8873563218390804,0.8459770114942529,0.8674329501915707,0.0169277563481797,1
304,0.17750167846679688,0.042087094061894474,0.08571124076843262,0.028610065378274704,0.05,0.001,rbf,50,"{'kpca__alpha': 0.05, 'kpca__gamma': 0.001, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.8666666666666667,0.8873563218390804,0.8413793103448276,0.8651340996168582,0.018801293710935297,4
4,0.09586564699808757,0.004639554718827762,0.04942528406778971,0.001453055095907702,0.5,0.001,rbf,50,"{'kpca__alpha': 0.5, 'kpca__gamma': 0.001, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.8666666666666667,0.8873563218390804,0.8413793103448276,0.8651340996168582,0.018801293710935297,4
