CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,8,3,62,123,0.9538461538461539,0.9389312977099237,0.9438775510204082
1,3,15,50,128,0.7692307692307693,0.9770992366412213,0.9081632653061225
2,8,1,65,122,0.9848484848484849,0.9384615384615385,0.9540816326530612
