CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,15,5,60,116,0.9230769230769231,0.8854961832061069,0.8979591836734694
1,5,25,40,126,0.6153846153846154,0.9618320610687023,0.8469387755102041
2,12,2,64,118,0.9696969696969697,0.9076923076923077,0.9285714285714286
