CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,7,5,60,124,0.9230769230769231,0.9465648854961832,0.9387755102040817
1,4,10,55,127,0.8461538461538461,0.9694656488549618,0.9285714285714286
2,6,2,64,124,0.9696969696969697,0.9538461538461539,0.9591836734693877
