,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kpca__degree,param_kpca__gamma,param_kpca__kernel,param_kpca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2734866142272949,0.0552035828850005,0.022815783818562824,0.0011380876403489038,2,0.005,poly,50,"{'kpca__degree': 2, 'kpca__gamma': 0.005, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.5724137931034483,0.5908045977011495,0.4528735632183908,0.5386973180076629,0.06114923323604601,81
1,0.31948010126749676,0.03277905801871515,0.035088698069254555,0.004730955900769488,2,0.005,poly,100,"{'kpca__degree': 2, 'kpca__gamma': 0.005, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.5770114942528736,0.593103448275862,0.4528735632183908,0.5409961685823754,0.06265744397474216,80
2,0.782339890797933,0.07102413399743801,0.059035301208496094,0.003153413236970199,2,0.005,poly,500,"{'kpca__degree': 2, 'kpca__gamma': 0.005, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.5793103448275863,0.5954022988505747,0.45057471264367815,0.5417624521072797,0.0648132734215801,79
3,0.2618141969045003,0.001678772122495547,0.024953047434488933,0.0008873832396682331,2,0.005,sigmoid,50,"{'kpca__degree': 2, 'kpca__gamma': 0.005, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.40229885057471265,0.37471264367816093,0.34942528735632183,0.3754789272030652,0.021592341461464173,91
4,0.31941429773966473,0.0026602860464150506,0.030430078506469727,0.0009075353862526884,2,0.005,sigmoid,100,"{'kpca__degree': 2, 'kpca__gamma': 0.005, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.4,0.37471264367816093,0.34942528735632183,0.37471264367816093,0.020647039977482736,97
5,0.811063289642334,0.044739303017084134,0.07143497467041016,0.0008213112755962516,2,0.005,sigmoid,500,"{'kpca__degree': 2, 'kpca__gamma': 0.005, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.4,0.37471264367816093,0.35172413793103446,0.37547892720306514,0.019715985180488303,94
6,0.1983931064605713,0.009972154766206281,0.019351641337076824,0.0008529890042027374,2,0.01,poly,50,"{'kpca__degree': 2, 'kpca__gamma': 0.01, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.864367816091954,0.8390804597701149,0.774712643678161,0.8260536398467434,0.03774286699164672,26
7,0.24225735664367676,0.012537573709504264,0.023561954498291016,0.0014348198199932772,2,0.01,poly,100,"{'kpca__degree': 2, 'kpca__gamma': 0.01, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8505747126436781,0.8620689655172413,0.7908045977011494,0.8344827586206897,0.031239566453087352,19
8,0.6048405965169271,0.027234741593202844,0.04899374643961588,0.0022762922106200614,2,0.01,poly,500,"{'kpca__degree': 2, 'kpca__gamma': 0.01, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8275862068965517,0.871264367816092,0.8229885057471265,0.8406130268199234,0.021754895887476457,16
9,0.2667929331461589,0.003045075983928163,0.026110728581746418,0.0006992376554406416,2,0.01,sigmoid,50,"{'kpca__degree': 2, 'kpca__gamma': 0.01, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.37471264367816093,0.3724137931034483,0.3310344827586207,0.3593869731800767,0.020070192879247203,100
10,0.3346916039784749,0.01981970597482556,0.030411561330159504,0.0012427063756880574,2,0.01,sigmoid,100,"{'kpca__degree': 2, 'kpca__gamma': 0.01, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.3724137931034483,0.3724137931034483,0.3310344827586207,0.3586206896551724,0.01950639396376684,103
11,0.792609453201294,0.0044355840011929965,0.07017334302266438,0.0017658667022444718,2,0.01,sigmoid,500,"{'kpca__degree': 2, 'kpca__gamma': 0.01, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.3724137931034483,0.3724137931034483,0.3310344827586207,0.3586206896551724,0.01950639396376684,103
12,0.2057365576426188,0.02371134082289558,0.020320336023966473,0.009030300339325935,2,0.1,poly,50,"{'kpca__degree': 2, 'kpca__gamma': 0.1, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.8298850574712644,0.832183908045977,0.8620689655172413,0.8413793103448276,0.014659867026596904,15
13,0.1996022860209147,0.005947628710052383,0.01699995994567871,0.0013400679008256139,2,0.1,poly,100,"{'kpca__degree': 2, 'kpca__gamma': 0.1, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8413793103448276,0.832183908045977,0.8620689655172413,0.8452107279693486,0.012497706076858295,13
14,0.5278573830922445,0.02276123571982815,0.036214987436930336,0.0005660172336936142,2,0.1,poly,500,"{'kpca__degree': 2, 'kpca__gamma': 0.1, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8781609195402299,0.8735632183908046,0.8505747126436781,0.8674329501915709,0.012067445017642653,6
15,0.2550836404164632,0.004434480402381898,0.025643189748128254,0.00116368540728465,2,0.1,sigmoid,50,"{'kpca__degree': 2, 'kpca__gamma': 0.1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.49885057471264366,0.5494252873563218,0.503448275862069,0.5172413793103448,0.022834734752109315,88
16,0.3072512149810791,0.0037479402454754732,0.02979437510172526,0.0017426010992623133,2,0.1,sigmoid,100,"{'kpca__degree': 2, 'kpca__gamma': 0.1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.5103448275862069,0.5494252873563218,0.5011494252873563,0.5203065134099617,0.020929502350571113,85
17,0.7861629327138265,0.057657128299897394,0.06843709945678711,0.0023180034448396147,2,0.1,sigmoid,500,"{'kpca__degree': 2, 'kpca__gamma': 0.1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.5103448275862069,0.5471264367816092,0.5080459770114942,0.5218390804597701,0.01790547347976694,82
18,0.20441571871439615,0.014271532647819432,0.01573634147644043,0.0013823954136541763,2,0.5,poly,50,"{'kpca__degree': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.832183908045977,0.8,0.8459770114942529,0.8260536398467432,0.019264069103412284,27
19,0.20256471633911133,0.005983867641848938,0.016637881596883137,0.00017954447536121983,2,0.5,poly,100,"{'kpca__degree': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8390804597701149,0.8206896551724138,0.8390804597701149,0.8329501915708812,0.008669508428340812,21
20,0.508336067199707,0.012704821692801335,0.03650363286336263,0.0006483585757491329,2,0.5,poly,500,"{'kpca__degree': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8666666666666667,0.8597701149425288,0.8459770114942529,0.8574712643678161,0.008601511233963102,7
21,0.24886401494344076,0.0030931997375442132,0.024621009826660156,0.00020092137832267078,2,0.5,sigmoid,50,"{'kpca__degree': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.5885057471264368,0.6,0.5678160919540229,0.5854406130268199,0.013316587890408264,76
22,0.33621740341186523,0.009703789203274365,0.0283356507619222,0.0005441101431570991,2,0.5,sigmoid,100,"{'kpca__degree': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.5977011494252874,0.6091954022988506,0.5701149425287356,0.5923371647509579,0.016399183570140016,64
23,0.8044629096984863,0.04293602938833223,0.06992705663045247,0.006648650549362978,2,0.5,sigmoid,500,"{'kpca__degree': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.6068965517241379,0.6206896551724138,0.5724137931034483,0.6,0.020302898543282398,52
24,0.20465826988220215,0.016114417608089536,0.014371713002522787,2.7989118153274144e-05,2,1,poly,50,"{'kpca__degree': 2, 'kpca__gamma': 1, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.825287356321839,0.8091954022988506,0.8436781609195402,0.8260536398467432,0.014087951196053805,27
25,0.20248309771219888,0.00599479749042834,0.01688083012898763,9.700683964257316e-05,2,1,poly,100,"{'kpca__degree': 2, 'kpca__gamma': 1, 'kpca__kernel': 'poly', 'kpca__n_components': 100}",0.8344827586206897,0.8160919540229885,0.8390804597701149,0.8298850574712643,0.009932169652732345,23
26,0.5273322264353434,0.02393156031804544,0.0370333194732666,0.0009445326874229666,2,1,poly,500,"{'kpca__degree': 2, 'kpca__gamma': 1, 'kpca__kernel': 'poly', 'kpca__n_components': 500}",0.8666666666666667,0.8597701149425288,0.8413793103448276,0.8559386973180078,0.010673094465275191,9
27,0.24410669008890787,0.0018980510552716078,0.024938027064005535,0.0019456242024601036,2,1,sigmoid,50,"{'kpca__degree': 2, 'kpca__gamma': 1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 50}",0.6091954022988506,0.6045977011494252,0.5724137931034483,0.5954022988505747,0.01636333831728935,61
28,0.31555644671122235,0.004401615342462806,0.02823321024576823,0.00034660662583826046,2,1,sigmoid,100,"{'kpca__degree': 2, 'kpca__gamma': 1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 100}",0.6160919540229886,0.6137931034482759,0.5678160919540229,0.5992337164750958,0.022235430082064262,55
29,0.8007516860961914,0.04286686944063652,0.07250277201334636,0.005160466650210971,2,1,sigmoid,500,"{'kpca__degree': 2, 'kpca__gamma': 1, 'kpca__kernel': 'sigmoid', 'kpca__n_components': 500}",0.5977011494252874,0.6252873563218391,0.5747126436781609,0.5992337164750957,0.020675459867022294,58
30,0.20801639556884766,0.011300741793977128,0.016477266947428387,0.0025757535227182533,2,5,poly,50,"{'kpca__degree': 2, 'kpca__gamma': 5, 'kpca__kernel': 'poly', 'kpca__n_components': 50}",0.825287356321839,0.8160919540229885,0.832183908045977,0.8245210727969349,0.006591820128001994,30
