CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,14,8,57,117,0.8769230769230769,0.8931297709923665,0.8877551020408163
1,9,26,39,122,0.6,0.9312977099236641,0.8214285714285714
2,15,4,62,115,0.9393939393939394,0.8846153846153846,0.9030612244897959
