CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,5,4,61,126,0.9384615384615385,0.9618320610687023,0.9540816326530612
1,3,8,57,128,0.8769230769230769,0.9770992366412213,0.9438775510204082
2,5,1,65,125,0.9848484848484849,0.9615384615384616,0.9693877551020408
