CLASS,FP,FN,TP,TN,SENSITIVITY,SPECIFICITY,ACCURACY
0,5,4,61,126,0.9384615384615385,0.9618320610687023,0.9540816326530612
1,2,9,56,129,0.8615384615384616,0.9847328244274809,0.9438775510204082
2,8,2,64,122,0.9696969696969697,0.9384615384615385,0.9489795918367347
